4c1000: GL-equivalent to harness Hanner mask 80002000a via T=[5/7,2/7,1/7,-3/7; 3/7,4/7,-5/7,1/7; 5/7,2/7,1/7,4/7; -1/7,-6/7,-3/7,2/7]
154100: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 0,0,1,1; 0,0,1,-1; 1,1,0,0]
15a00: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,-1,-1; 0,-2,1,1; 0,0,1,-1; 0,-1,1,1]
160a0: GL-equivalent to harness Hanner mask 4100104001 via T=[4,2,1,1; 2,0,1,1; 0,0,1,-1; -2,-1,-1,-1]
16140: GL-equivalent to harness Hanner mask 4100104001 via T=[3,1,1,1; 1,-1,1,1; 1,1,1,-1; -1,0,-1,-1]
16240: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,0,-1; 0,0,0,-1; 2,0,2,1; 0,-1,0,1]
1680100: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 0,0,-1,0; 0,0,0,1; 1/2,1,1/2,0]
16a00: GL-equivalent to harness Hanner mask 4100104001 via T=[2,0,1,1; 0,-2,1,1; 0,0,1,-1; 0,1,-1,-1]
17200: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,0,-1; 0,0,0,-1; 0,-2,2,1; 0,-1,0,1]
18013: GL-equivalent to harness Hanner mask 4100104001 via T=[5,3,2,1; -3,-3,-2,-1; -1,-1,0,-1; 1,1,0,0]
18023: GL-equivalent to harness Hanner mask 4100104001 via T=[4,2,2,1; -2,-2,-2,-1; 0,0,0,-1; 1,1,0,0]
18043: GL-equivalent to harness Hanner mask 4100104001 via T=[3,1,2,1; -1,-1,-2,-1; 1,1,0,-1; 1,1,0,0]
18083: GL-equivalent to harness Hanner mask 4100104001 via T=[3,1,2,1; -1,-1,-2,-1; -1,-1,0,-1; 1,1,0,0]
180c1: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 2,1,2,0; 2,1,2,1]
180c2: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; -2,-1,-2,-2; 2,1,2,1]
180c4: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,0,0,-1; 1,1/2,1,1/2]
180d0: GL-equivalent to harness Hanner mask 4100104001 via T=[3,3/2,1,1/2; -1,-3/2,-1,-1/2; 1,1/2,1,-1/2; -1,-1/2,-1,-1/2]
180e0: GL-equivalent to harness Hanner mask 4100104001 via T=[4,2,2,1; -2,-2,-2,-1; 0,0,0,-1; -2,-1,-2,-1]
18103: GL-equivalent to harness Hanner mask 4100104001 via T=[2,0,2,1; 0,0,-2,-1; 0,0,0,-1; 1,1,0,0]
18203: GL-equivalent to harness Hanner mask 4100104001 via T=[1,-1,2,1; 1,1,-2,-1; 1,1,0,-1; 1,1,0,0]
182c0: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1,-1/2; 1,-1/2,1,1/2; 1,1/2,1,-1/2; 1,1/2,1,1/2]
18403: GL-equivalent to harness Hanner mask 4100104001 via T=[1,-1,2,1; 1,1,-2,-1; -1,-1,0,-1; 1,1,0,0]
184c0: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,-1,-1/2; 1,-1/2,1,1/2; -1,-1/2,-1,-3/2; 1,1/2,1,1/2]
18602: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,1,-2,-2; 0,-1,2,1]
18604: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,0,0,-1; 0,-1/2,1,1/2]
18610: GL-equivalent to harness Hanner mask 4100104001 via T=[2,3/4,1/2,1/4; 0,-3/4,-1/2,-1/4; 0,-1/4,1/2,-3/4; 0,1/4,-1/2,-1/4]
18640: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1/2,1,1/2; 0,-1/2,-1,-1/2; 0,1/2,-1,-3/2; 0,1/2,-1,-1/2]
18803: GL-equivalent to harness Hanner mask 4100104001 via T=[0,-2,2,1; 2,2,-2,-1; 0,0,0,-1; 1,1,0,0]
18e00: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,-2,-1; 0,-2,2,1; 0,0,0,-1; 0,-1,2,1]
19003: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,-3,2,1; 3,3,-2,-1; 1,1,0,-1; 1,1,0,0]
190c0: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,3/4,-1/2,-1/4; 1/2,-3/4,1/2,1/4; 1/2,1/4,1/2,-3/4; 1/2,1/4,1/2,1/4]
19600: GL-equivalent to harness Hanner mask 4100104001 via T=[2,3/2,-1,-1/2; 0,-3/2,1,1/2; 0,-1/2,1,-1/2; 0,-1/2,1,1/2]
1a090: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,0,-1/2; -1,-3/2,0,-1/2; 3,3/2,2,1/2; 1,1/2,0,1/2]
1a0c0: GL-equivalent to harness Hanner mask 4100104001 via T=[3,3/2,1,1/2; 1,-1/2,1,1/2; 1,1/2,1,-1/2; -1,-1/2,-1,-1/2]
1a120: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1,0,-1/2; -1/2,-1,0,-1/2; 5/2,1,2,1/2; 1/2,0,0,1/2]
1a240: GL-equivalent to harness Hanner mask 4100104001 via T=[2,3/2,0,-1/2; 0,-1/2,0,-1/2; 2,1/2,2,1/2; 0,-1/2,0,1/2]
1a480: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,0,-1/2; -1,-3/2,0,-1/2; 1,-1/2,2,1/2; 1,1/2,0,1/2]
1a900: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1,0,-1/2; -1/2,-1,0,-1/2; 1/2,-1,2,1/2; 1/2,0,0,1/2]
1b200: GL-equivalent to harness Hanner mask 4100104001 via T=[2,3/2,0,-1/2; 0,-1/2,0,-1/2; 0,-3/2,2,1/2; 0,-1/2,0,1/2]
1c0a0: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,-1,-1; -2,-2,-1,-1; 4,2,3,1; 2,1,1,1]
1c0c0: GL-equivalent to harness Hanner mask 4100104001 via T=[4,2,2,1; 2,0,2,1; 0,0,0,-1; -2,-1,-2,-1]
1c140: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,-1,-1; -1,-1,-1,-1; 3,1,3,1; 1,0,1,1]
1ca00: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,-1,-1; 0,0,-1,-1; 0,-2,3,1; 0,-1,1,1]
22015: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,0,-1,1; -1,0,1,-1; -3,-2,-1,-1; 1,1,0,0]
22025: GL-equivalent to harness Hanner mask 4100104001 via T=[-2,-1,-1,1; 0,1,1,-1; -2,-1,-1,-1; 1,1,0,0]
22045: GL-equivalent to harness Hanner mask 4100104001 via T=[-3,-2,-1,1; 1,2,1,-1; -1,0,-1,-1; 1,1,0,0]
22105: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,0,-1,1; -1,0,1,-1; -1,0,-1,-1; 1,1,0,0]
22112: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 2,1,1,1; 0,0,1/2,-1/2]
22150: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1/2,-1/2; 0,-1,-1/2,1/2; 2,1,3/2,1/2; 0,0,-1/2,1/2]
22205: GL-equivalent to harness Hanner mask 4100104001 via T=[-2,-1,-1,1; 0,1,1,-1; 0,1,-1,-1; 1,1,0,0]
22221: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 2,1,2,0; -1,-1,-1,1]
22222: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 1,0,1,1; 1/2,1/2,1/2,-1/2]
22224: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,-1,0,2; 1,1,1,-1]
22230: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,-1,1; 1,0,1,-1; 3,2,3,-1; 1,1,1,-1]
22260: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,-1; -1,-2,-1,1; 1,0,1,1; -1,-1,-1,1]
222a0: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1/2,-1/2,1/2; 1/2,-1/2,1/2,-1/2; 3/2,1/2,3/2,1/2; 1/2,1/2,1/2,-1/2]
22320: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,-1,1; 1,0,1,-1; 1,0,1,1; 1,1,1,-1]
22a20: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1/2,-1/2,1/2; 1/2,-1/2,1/2,-1/2; 1/2,-1/2,1/2,3/2; 1/2,1/2,1/2,-1/2]
23005: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,0,-1,1; -1,0,1,-1; 1,2,-1,-1; 1,1,0,0]
23102: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,-1,1,1; 0,0,1/2,-1/2]
23140: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1/2,-1/2; 0,-1,-1/2,1/2; 0,-1,1/2,3/2; 0,0,-1/2,1/2]
23220: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,-1,1; 1,0,1,-1; -1,-2,-1,3; 1,1,1,-1]
24013: GL-equivalent to harness Hanner mask 4100104001 via T=[0,1,0,1; -2,-1,0,-1; -4,-3,-2,-1; 1,1,0,0]
24019: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,1; 0,-1,0,-1; 2,1,2,-1; 1,1,0,0]
24023: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,0,0,1; -1,0,0,-1; -3,-2,-2,-1; 1,1,0,0]
24083: GL-equivalent to harness Hanner mask 4100104001 via T=[0,1,0,1; -2,-1,0,-1; -2,-1,-2,-1; 1,1,0,0]
24089: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,1; 0,-1,0,-1; 0,-1,2,-1; 1,1,0,0]
24091: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 2,1,2,0; 1,1,0,1]
24092: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 4,3,2,2; -1,-1,0,-1]
24098: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,-1,2,-2; 1,1,0,1]
240b0: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,-1; 1,0,0,1; 3,2,2,1; 1,1,0,1]
240d0: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1/2,0,-1/2; 1/2,-1/2,0,1/2; 5/2,3/2,2,1/2; 1/2,1/2,0,1/2]
24103: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,0,0,1; -1,0,0,-1; -1,0,-2,-1; 1,1,0,0]
24121: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 2,1,2,0; 0,0,0,1]
24190: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,-1; 1,0,0,1; 1,0,2,-1; 1,1,0,1]
24290: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1/2,0,-1/2; 1/2,-1/2,0,1/2; 3/2,1/2,2,-1/2; 1/2,1/2,0,1/2]
24403: GL-equivalent to harness Hanner mask 4100104001 via T=[0,1,0,1; -2,-1,0,-1; 0,1,-2,-1; 1,1,0,0]
24409: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,1; 0,-1,0,-1; -2,-3,2,-1; 1,1,0,0]
24482: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 2,1,2,2; -1,-1,0,-1]
24488: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; -2,-3,2,-2; 1,1,0,1]
244a0: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,-1; 1,0,0,1; 3,2,2,3; 1,1,0,1]
244c0: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1/2,0,-1/2; 1/2,-1/2,0,1/2; 3/2,1/2,2,3/2; 1/2,1/2,0,1/2]
24640: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1/2,0,1/2; 1/2,-1/2,0,-1/2; 1/2,-1/2,2,3/2; 1/2,1/2,0,-1/2]
24803: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,0,0,1; -1,0,0,-1; 1,2,-2,-1; 1,1,0,0]
24901: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,-1,2,0; 0,0,0,1]
24c80: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,-1; 1,0,0,1; -1,-2,2,-1; 1,1,0,1]
25480: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1/2,0,-1/2; 1/2,-1/2,0,1/2; -1/2,-3/2,2,-1/2; 1/2,1/2,0,1/2]
26090: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,0,1; 1,0,0,1; 1,0,2,-1; -1,-1,0,-1]
26240: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,1; -1,-2,0,1; 3,2,2,-1; 1,1,0,-1]
26880: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,1,-1; -1,-2,1,-1; 1,0,1,1; 1,1,-1,1]
280280800: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 0,1/2,-1/2,0; 0,0,0,1; 0,1/2,1/2,0]
28a010: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 1,1,1,0; 1,1,0,1; 1,1,0,0]
28a020: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 1,1,1,0; 0,0,0,1; 1,1,0,0]
28a100: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 0,0,1,0; 0,0,0,1; 1,1,0,0]
2a00a00: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 1/2,-1/2,-1/2,-1/2; 0,0,1,-1; 1/4,-1/4,1/4,1/4]
2a0a0: GL-equivalent to harness Hanner mask 4100104001 via T=[5/2,3/2,1/2,1/2; 1/2,-1/2,1/2,1/2; 3/2,1/2,3/2,-1/2; -1/2,-1/2,-1/2,-1/2]
2a110: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1/2,-1/2; 0,-1,1/2,-1/2; 2,1,3/2,1/2; 0,0,-1/2,1/2]
2a880: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1/2,1/2,-1/2; -1/2,-3/2,1/2,-1/2; 1/2,-1/2,3/2,1/2; 1/2,1/2,-1/2,1/2]
3100108: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,1,0; 1/3,-1,-1/3,-2/3; 1/3,1,-1/3,-2/3; 1/3,0,-1/3,1/3]
3200600: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,0,0; 3/5,-3/5,-4/5,-2/5; 1/5,-1/5,2/5,-4/5; 1/5,-1/5,2/5,1/5]
34030: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,0; 1,0,1,0; 3,2,1,2; -1,-1,-1,0]
34240: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,1; -1,-2,0,1; 1,0,2,1; 1,1,0,-1]
36010: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 3,2,2,0; 3,2,0,2; 1,1,0,0]
38030: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,0; 1,0,1,0; 5,4,3,2; -1,-1,-1,0]
38060: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,0; 1,0,1,0; 3,2,3,2; -1,-1,-1,0]
380a0: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,1; 1,0,1,1; 3,2,3,1; -1,-1,-1,-1]
39800: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,1,0; -1,-2,1,0; -3,-4,3,2; 1,1,-1,0]
3c010: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 3,2,2,0; 5,4,2,2; 1,1,0,0]
3c020: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 3,2,2,0; 3,2,2,2; 1,1,0,0]
3c040: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 3,2,2,0; 1,0,2,2; 1,1,0,0]
400210a: GL-equivalent to harness Hanner mask 4100104001 via T=[-1,-1,1/2,1/2; -1,1,-1/2,-1/2; -1,-1,-1/2,-1/2; 0,0,1/2,-1/2]
414011: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,0,1; -4,-2,-2,-1; -2,-2,0,-1; -1,-1,-1,0]
414208: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,0,0,-1; 0,1,-1,0; 0,-1/2,-1/2,1/2]
418011: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,1,1; -5,-3,-3,-1; -3,-3,-1,-1; -1,-1,-1,0]
418012: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,1,0; -6,-4,-3,-2; -2,-2,-1,0; -2,-2,-1,-1]
418082: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; -4,-3,-3,-2; 0,1,-1,0; 2,1,1,1]
418104: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; -1,-1,-1,-1; 0,1,-1,0; 1/2,0,0,1/2]
418408: GL-equivalent to harness Hanner mask 4100104001 via T=[2,4/3,1/3,2/3; 0,0,-1,0; 0,2/3,-1/3,-2/3; 0,-2/3,1/3,-1/3]
420023: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,1; -1,-2,-1,-1; -1,0,-1,-1; 1,1,1,0]
420025: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,1; 0,-1,0,-1; 0,1,0,-1; 1,1,1,0]
420029: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,-1,1; 1,0,1,-1; 1,2,1,-1; 1,1,1,0]
4200a1: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,1; 0,-1,0,-1; -2,-1,-2,-1; 1,1,1,0]
4200c4: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,-1,-1,0; -1,0,-1,-1; 1/2,1/2,0,1/2]
42010a: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1/2,1/2; 0,-1,-1/2,-1/2; 0,1,-1/2,-1/2; 0,0,1/2,-1/2]
420121: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,-1,1; 1,0,1,-1; -1,0,-1,-1; 1,1,1,0]
420148: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,-1,-1,0; 0,1,0,-1; 0,0,-1/2,1/2]
420284: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1/2,1,-1/2; 1/2,-1/2,-1,1/2; -1/2,1/2,-1,-1/2; 1/2,1/2,0,1/2]
421021: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,-1,1; 1,0,1,-1; 0,1,0,-1; 1/2,1/2,1/2,0]
422021: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,1; 2,1,2,-1; 0,1,0,-1; -1,-1,-1,0]
422042: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,1,0; 0,0,0,1; -2,-2,-1,0; 1,0,1/2,1/2]
424021: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,1; 1,0,1,-1; -1,0,-1,-1; -1,-1,-1,0]
424022: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,1,0; 2,2,1,2; -2,-2,-1,0; 2,1,1,1]
428021: GL-equivalent to harness Hanner mask 4100104001 via T=[4,3,2,1; 0,-1,0,-1; -2,-1,-2,-1; -1,-1,-1,0]
428084: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; -2,-3,-1,-2; 0,1,-1,0; 1,1,0,1]
428108: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,-1,0,-1; 0,1,-1,0; 0,0,-1/2,1/2]
428a00: GL-equivalent to harness Hanner mask 4100104001 via T=[4/3,1/3,2/3,2/3; 0,-1,0,0; 2/3,-1/3,4/3,-2/3; 1/3,1/3,-1/3,-1/3]
4400a8: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,-1,-1,0; 0,0,0,-1; 0,1/2,-1/2,1/2]
440811: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,-1,1; 1,-1,1,-1; 0,0,0,-1; 1/2,1/2,1/2,0]
442024: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,1,0; -1,0,-1,1; -2,-2,-1,0; 1/2,0,0,1/2]
442042: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,1,0; -2/3,0,-1/3,2/3; -2,-2,-1,0; 2/3,0,1/3,1/3]
444011: GL-equivalent to harness Hanner mask 4100104001 via T=[2,2,0,1; 2,0,2,-1; 0,0,0,-1; -1,-1,-1,0]
444022: GL-equivalent to harness Hanner mask 4100104001 via T=[0,0,1,0; 0,1,0,1; -2,-2,-1,0; 1,1/2,1/2,1/2]
450082: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1/2,1/2,-1/2; -1,-3/2,-3/2,-1/2; 1,3/2,-1/2,1/2; 1,1/2,1/2,1/2]
450104: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1,1,-1/2; -1/2,-1,-1,-1/2; 1/2,1,-1,1/2; 1/2,0,0,1/2]
460084: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,1,-1; -1,-2,-1,-1; 1,2,-1,1; 1,1,0,1]
488024: GL-equivalent to harness Hanner mask 4100104001 via T=[5/2,2,1,1/2; -3/2,-2,-1,-3/2; -1/2,0,-1,-1/2; 1/2,0,0,1/2]
488048: GL-equivalent to harness Hanner mask 4100104001 via T=[2,3/2,3/4,1/4; 0,-1/2,-1/4,-3/4; 0,1/2,-3/4,-1/4; 0,-1/2,-1/4,1/4]
4c0088: GL-equivalent to harness Hanner mask 4100104001 via T=[2,5/3,1/3,2/3; 0,-1,-1,0; 0,1/3,-1/3,-2/3; 0,-1/3,1/3,-1/3]
4c00c0: GL-equivalent to harness Hanner mask 4100104001 via T=[2,5/3,4/3,2/3; 0,-1,0,0; 0,1/3,2/3,-2/3; 0,-1/3,-2/3,-1/3]
4c0600: GL-equivalent to harness Hanner mask 4100104001 via T=[6/5,3/5,4/5,2/5; 0,-1,0,0; -2/5,-1/5,2/5,-4/5; 2/5,1/5,-2/5,-1/5]
5001a: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,-1,-1,0; 1,1,0,1; 1,1,0,0]
5002a: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,1,0; 0,-1,-1,0; 0,0,0,1; 1,1,0,0]
50052: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 1,1,1,1; 1,1,1,0]
50054: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,0,0,1; 1,1,1,0]
5008a: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,1,0; 1,0,-1,0; 1,1,0,1; 1,1,0,0]
500d0: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,-1,0; 1,0,1,0; 1,1,1,1; 1,1,1,0]
5010a: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,1,0; 1,0,-1,0; 0,0,0,1; 1,1,0,0]
50150: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,-1,0; 1,0,1,0; 0,0,0,1; 1,1,1,0]
50284: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,0,0,1; 0,0,1,0]
50450: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1/2,-1/2,0; 1/2,-1/2,1/2,0; 1/2,1/2,1/2,1; 1/2,1/2,1/2,0]
50850: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1/2,-1/2,0; 1/2,-1/2,1/2,0; 0,0,0,1; 1/2,1/2,1/2,0]
52050: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,0; 1,0,1,0; -1,-1,-1,1; -1,-1,-1,0]
53400: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,1,0; -1,-2,1,0; 1,1,-1,1; 1,1,-1,0]
540140: GL-equivalent to harness Hanner mask 4100104001 via T=[4/3,1,2/3,2/3; 0,-1,0,0; 2/3,1,4/3,-2/3; 1/3,0,-1/3,-1/3]
54050: GL-equivalent to harness Hanner mask 4100104001 via T=[3,2,1,0; 1,0,1,0; 0,0,0,1; -1,-1,-1,0]
54110: GL-equivalent to harness Hanner mask 4100104001 via T=[3/2,1,-1/2,1/2; -1/2,-1,-1/2,1/2; 3/2,1,3/2,1/2; 1/2,0,1/2,-1/2]
55400: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,1,0; -1,-2,1,0; 0,0,0,1; 1,1,-1,0]
5a010: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 3,2,2,0; 1,1,0,1; 1,1,0,0]
5a020: GL-equivalent to harness Hanner mask 4100104001 via T=[1,0,0,0; 3,2,2,0; 0,0,0,1; 1,1,0,0]
6016: GL-equivalent to harness Hanner mask 4100104001 via T=[3,1,1,0; -1,-1,-1,0; 5,3,1,2; 1,1,0,0]
601c: GL-equivalent to harness Hanner mask 4100104001 via T=[3,1,1,0; -1,-1,-1,0; 1,1,-1,2; 1,1,0,0]
6026: GL-equivalent to harness Hanner mask 4100104001 via T=[3,1,1,0; -1,-1,-1,0; 3,1,1,2; 1,1,0,0]
602c: GL-equivalent to harness Hanner mask 4100104001 via T=[3,1,1,0; -1,-1,-1,0; -1,-1,-1,2; 1,1,0,0]
6032: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 6,3,2,2; 2,1,1,0]
6034: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 2,1,0,2; 2,1,1,0]
6038: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; -2,-1,-2,2; 2,1,1,0]
604022: GL-equivalent to harness Hanner mask 4100104001 via T=[-2/3,-1/3,2/3,-1/3; 0,1,0,1; -4/3,-5/3,-2/3,1/3; 2/3,1/3,1/3,1/3]
604101: GL-equivalent to harness Hanner mask 4100104001 via T=[1,1,-1,1; 0,-1,0,-1; 1,1,1,-1; 1/2,0,1/2,0]
6046: GL-equivalent to harness Hanner mask 4100104001 via T=[3,1,1,0; -1,-1,-1,0; 1,-1,1,2; 1,1,0,0]
604c: GL-equivalent to harness Hanner mask 4100104001 via T=[3,1,1,0; -1,-1,-1,0; -3,-3,-1,2; 1,1,0,0]
6062: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 4,1,2,2; 2,1,1,0]
6064: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; 0,-1,0,2; 2,1,1,0]
6068: GL-equivalent to harness Hanner mask 4100104001 via T=[2,1,0,0; 0,-1,0,0; -4,-3,-2,2; 2,1,1,0]
608c: GL-equivalent to harness Hanner mask 4100104001 via T=[2,0,1,0; 0,0,-1,0; 2,2,-1,2; 1,1,0,0]
609040: GL-equivalent to harness Hanner mask 4100104001 via T=[2/3,1/3,0,2/3; 0,-1,0,0; 2/3,1/3,1,-1/3; 2/3,1/3,0,-1/3]
6106: GL-equivalent to harness Hanner mask 4100104001 via T=[2,0,1,0; 0,0,-1,0; 2,0,1,2; 1,1,0,0]
